date,addrcode,bin,bowl,bucket,cup,jar,pottedplant,tire,vase,total
2011-12-01,104502,153,17,523,10,21,850,135,6,1715
2012-02-01,104802,271,13,837,14,61,1302,342,5,2845
2017-08-01,101104,114,22,1195,18,74,899,211,3,2536
2017-06-01,102601,666,125,1861,71,78,3176,381,20,6378
2017-06-01,104503,3,0,4,0,0,9,3,0,19
2017-05-01,101602,47,20,253,13,18,648,48,3,1050
2017-08-01,100307,26,5,81,1,7,69,85,0,274
2017-05-01,103004,90,12,416,5,13,792,99,2,1429
2012-01-01,102702,135,19,594,8,45,1192,96,2,2091
2017-05-01,101801,6,14,111,2,14,267,28,1,443
2011-12-01,103201,517,37,1361,29,93,2198,249,8,4492
2017-06-01,100401,24,18,98,8,2,196,26,1,373
2017-06-01,100204,9,5,61,5,1,53,9,0,143
2017-05-01,103605,104,16,276,11,16,555,102,3,1083
2012-02-01,103602,429,44,1567,26,151,2826,182,10,5235
2012-02-01,100304,131,5,488,4,31,451,72,1,1183
2012-02-01,104201,487,37,1761,31,197,2951,314,11,5789
2017-06-01,100203,21,5,62,4,2,216,19,0,329
2011-12-01,100608,564,75,2312,60,79,4291,407,15,7803
2012-01-01,101105,77,9,485,13,37,518,130,3,1272
2017-05-01,102007,113,12,418,8,23,962,77,3,1616
2016-11-01,101106,32,3,102,2,8,75,43,0,265
2017-06-01,100405,19,19,90,4,3,256,26,2,419
2017-06-01,100404,16,6,78,8,7,157,25,3,300
2012-01-01,102703,295,37,1428,24,71,2389,264,7,4515
2011-12-01,103801,623,69,2278,65,120,5411,445,23,9034
2012-01-01,101001,636,63,2972,49,181,4165,458,12,8536
2017-06-01,103003,248,35,976,23,57,1825,226,7,3397
2017-06-01,103005,153,51,528,38,31,1030,209,4,2044
2012-01-01,100601,577,81,2106,65,101,3741,342,16,7029
2012-01-01,102701,300,48,1295,14,59,2362,243,7,4328
2017-07-01,102502,35,5,79,4,8,189,26,0,346
2017-05-01,101704,308,15,826,13,31,1716,156,14,3079
2012-02-01,102303,269,49,1378,28,142,2196,293,7,4362
2017-05-01,101802,19,12,119,8,5,200,36,1,400
2017-05-01,101502,6,4,48,1,3,74,10,0,146
2012-01-01,102206,18,1,74,2,5,155,20,1,276
2017-06-01,103302,102,9,167,21,9,476,39,6,829
2017-06-01,100702,19,15,90,8,2,198,69,3,404
2017-06-01,100703,12,7,53,5,2,201,24,6,310
2017-06-01,100704,64,25,180,24,5,471,53,5,827
2017-06-01,103901,59,18,135,14,9,436,38,9,718
2017-06-01,100102,12,8,62,2,3,163,11,4,265
2017-05-01,102209,40,15,155,7,6,310,50,0,583
2017-06-01,100403,27,15,73,5,1,169,27,3,320
2017-05-01,104501,245,13,902,11,38,1283,250,5,2747
2012-01-01,102202,27,17,255,3,11,452,47,2,814
2017-05-01,100402,40,10,135,20,3,292,39,5,544
2017-05-01,101902,69,3,319,9,8,603,113,2,1126
2011-12-01,104401,349,47,2160,29,181,4844,409,12,8031
2017-05-01,102501,113,10,341,14,30,803,105,2,1418
2017-06-01,101401,270,50,621,38,23,1672,213,17,2904
2017-06-01,103102,16,11,96,5,2,248,44,0,422
2011-12-01,103203,271,18,842,17,47,1081,198,1,2475
2017-05-01,101701,197,34,628,26,24,1210,189,6,2314
2017-05-01,102503,36,11,218,11,14,461,43,2,796
2017-07-01,102105,255,16,824,16,26,853,184,5,2179
2017-05-01,101506,29,11,120,11,7,316,50,0,544
2012-01-01,104001,153,26,1129,30,62,1803,195,7,3405
2016-11-01,104004,15,0,31,2,1,66,26,0,141
2012-01-01,103501,103,21,631,16,24,1080,124,5,2004
2017-06-01,103103,233,27,516,22,18,1055,148,7,2026
2012-01-01,102210,18,5,60,1,5,166,18,1,274
2012-01-01,102207,44,12,381,7,29,640,72,3,1188
2017-06-01,100104,12,4,29,3,1,78,5,0,132
2017-06-01,103301,66,21,226,30,5,555,76,8,987
2017-05-01,102009,72,7,227,9,12,539,73,2,941
2017-05-01,100202,30,7,89,7,1,166,25,0,325
2017-05-01,102504,48,14,185,12,18,468,48,3,796
2017-08-01,101103,83,3,452,14,24,360,408,1,1345
2017-05-01,100201,44,7,80,4,6,195,24,1,361
2017-05-01,101901,24,5,183,6,7,383,37,1,646
2016-11-01,101905,78,10,196,7,8,382,52,0,733
2017-04-01,101102,14,2,87,0,4,59,33,0,199
2017-05-01,102006,18,1,50,1,4,168,9,0,251
2017-07-01,104801,161,4,444,8,32,578,134,1,1362
2017-07-01,100701,34,7,131,11,9,320,63,2,577
2012-02-01,104003,230,25,889,16,90,1241,170,7,2668
2017-06-01,100802,5,3,51,6,1,164,27,0,257
2017-06-01,100103,12,6,28,3,2,93,5,0,149
2011-12-01,103401,691,78,2572,64,107,4684,475,19,8690
2017-05-01,101501,7,3,67,1,1,118,15,7,219
2017-06-01,101303,23,10,32,8,1,94,12,3,183
2012-02-01,102107,355,55,1744,43,118,2368,390,12,5085
2017-06-01,102802,39,18,169,10,5,420,56,2,719
2017-05-01,101507,25,19,136,13,12,235,30,1,471
2017-05-01,101803,48,14,193,6,13,372,37,0,683
2017-06-01,101301,10,5,51,4,2,85,15,2,174
2017-06-01,102801,95,28,356,17,16,920,125,6,1563
2017-06-01,100803,13,10,117,2,5,272,34,0,453
2017-06-01,100105,11,11,61,11,2,156,14,2,268
2017-06-01,100804,10,12,68,10,2,156,17,1,276
2017-06-01,100106,5,3,17,9,0,54,1,0,89
2017-07-01,103903,129,24,358,21,15,644,81,4,1276
2017-06-01,103303,137,13,233,13,17,702,85,2,1202
2012-01-01,102201,122,26,711,20,43,1068,123,7,2120
2017-05-01,101505,25,12,108,8,12,341,21,0,527
2017-06-01,103101,20,8,114,5,4,233,13,2,399
2012-01-01,103504,113,23,583,24,25,1029,128,3,1928
2012-02-01,102302,289,28,1353,24,136,2298,250,5,4383
2017-07-01,101204,35,11,165,5,7,266,57,1,547
2017-07-01,102402,128,21,611,20,41,934,95,4,1854
2012-01-01,105001,520,96,3866,74,164,4234,601,13,9568
2017-07-01,103503,146,20,1135,20,44,1725,165,6,3261
2017-07-01,102401,101,9,294,5,11,485,100,3,1008
2017-04-01,104701,151,15,510,11,20,686,154,7,1554
2017-05-01,101504,32,15,204,10,9,327,33,1,631
2017-06-01,101203,209,34,558,23,27,1141,156,5,2153
2017-05-01,101804,31,13,87,5,4,185,29,1,355
2017-05-01,101503,18,19,158,5,2,241,36,1,480
2017-06-01,102803,54,16,182,11,11,530,55,4,863
2012-01-01,103502,71,17,268,13,9,509,45,1,933
2012-02-01,104902,188,16,1057,13,27,1583,151,6,3041
2012-01-01,104301,306,28,1013,22,74,1769,158,4,3374
2012-02-01,104602,97,12,287,3,35,571,177,1,1183
2017-07-01,104504,518,61,1506,34,57,2034,252,5,4467
2017-07-01,104901,186,17,691,11,25,959,104,3,1996
